city,year,weekofyear,total_cases
sj,2013,15,9
sj,2013,16,8
sj,2013,17,8
iq,2010,26,5
iq,2010,27,3
iq,2010,28,6
iq,2010,29,4
iq,2010,30,3
iq,2010,31,4
iq,2010,32,2
iq,2010,33,4
iq,2010,34,3
iq,2010,35,4
iq,2010,36,4
iq,2010,37,3
iq,2010,38,5
iq,2010,39,4
iq,2010,40,3
iq,2010,41,5
iq,2010,42,6
iq,2010,43,8
iq,2010,44,10
iq,2010,45,8
iq,2010,46,7
iq,2010,47,8
iq,2010,48,8
iq,2010,49,8
iq,2010,50,7
iq,2010,51,4
iq,2011,52,7
iq,2011,1,6
iq,2011,2,7
iq,2011,3,8
iq,2011,4,5
iq,2011,5,7
iq,2011,6,8
iq,2011,7,8
iq,2011,8,9
iq,2011,9,9
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,6
iq,2011,14,6
iq,2011,15,5
iq,2011,16,5
iq,2011,17,6
iq,2011,18,6
iq,2011,19,2
iq,2011,20,5
iq,2011,21,5
iq,2011,22,3
iq,2011,23,2
iq,2011,24,4
iq,2011,25,1
iq,2011,26,4
iq,2011,27,4
iq,2011,28,2
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,3
iq,2011,37,4
iq,2011,38,4
iq,2011,39,7
iq,2011,40,6
iq,2011,41,7
iq,2011,42,8
iq,2011,43,7
iq,2011,44,7
iq,2011,45,8
iq,2011,46,8
iq,2011,47,7
iq,2011,48,7
iq,2011,49,8
iq,2011,50,8
iq,2011,51,8
iq,2012,52,9
iq,2012,1,8
iq,2012,2,8
iq,2012,3,7
iq,2012,4,7
iq,2012,5,9
iq,2012,6,8
iq,2012,7,8
iq,2012,8,7
iq,2012,9,7
iq,2012,10,8
iq,2012,11,7
iq,2012,12,7
iq,2012,13,5
iq,2012,14,5
iq,2012,15,6
iq,2012,16,6
iq,2012,17,5
iq,2012,18,5
iq,2012,19,3
iq,2012,20,5
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,3
iq,2012,31,2
iq,2012,32,2
iq,2012,33,3
iq,2012,34,4
iq,2012,35,3
iq,2012,36,2
iq,2012,37,3
iq,2012,38,2
iq,2012,39,3
iq,2012,40,5
iq,2012,41,7
iq,2012,42,6
iq,2012,43,9
iq,2012,44,7
iq,2012,45,7
iq,2012,46,9
iq,2012,47,10
iq,2012,48,10
iq,2012,49,7
iq,2012,50,8
iq,2012,51,9
iq,2013,1,9
iq,2013,2,6
iq,2013,3,7
iq,2013,4,9
iq,2013,5,8
iq,2013,6,10
iq,2013,7,8
iq,2013,8,9
iq,2013,9,8
iq,2013,10,8
iq,2013,11,9
iq,2013,12,11
iq,2013,13,10
iq,2013,14,5
iq,2013,15,5
iq,2013,16,7
iq,2013,17,5
iq,2013,18,2
iq,2013,19,6
iq,2013,20,5
iq,2013,21,4
iq,2013,22,4
iq,2013,23,5
iq,2013,24,3
iq,2013,25,1
iq,2013,26,3
